model,Accuracy,Recall,Precision,F1-macro,MCC,source
LogisticRegression,0.7649118198874296,0.612863827228481,0.6541003406657213,0.6245024039518594,0.616619781911307,base_models
Stacking,0.7689140869293307,0.5895030840113001,0.6903503251444141,0.623837599355497,0.6223473074189438,legacy_ensembles
Stacking,0.7692887742338962,0.5842021357711358,0.6606786529789825,0.6120856291101322,0.6227868546547042,section16_ensembles
LR_class_weight_balanced,0.7327759537210757,0.6686621368009844,0.567282204388383,0.6011076430408122,0.5831660530526547,imbalance
SMOTE_LR_moderate,0.7525322858036272,0.6454010352501243,0.5818214660075512,0.5933077145218806,0.5988153667280587,imbalance
ROS_LR_moderate,0.7505315822388994,0.6467380574466053,0.5815034319737672,0.5912098094801606,0.5961520223990641,imbalance
Voting,0.7569099437148218,0.5286891112467513,0.7007040266093434,0.5706141330915503,0.5992887772076421,section16_ensembles
SMOTE_RF_moderate,0.7170191525953722,0.5065250798855334,0.6888594769547839,0.5376041898407558,0.5299657417659007,imbalance
XGBoost,0.7412776735459662,0.49028172446858764,0.6262458695473088,0.5269594085539561,0.5730262066788644,section16_ensembles
XGBoost_OptunaPruned,0.7391529862414009,0.47878809361354724,0.59477049438235,0.5086183685701304,0.5713688963192498,optuna_pruned
Bagging,0.7120165728580363,0.45760269461006153,0.6256132758136581,0.49439946106778,0.5226312726607153,legacy_ensembles
ROS_RF_moderate,0.7212707160725452,0.4540660180963519,0.6463163396873022,0.4938593423309895,0.5352008535391619,imbalance
GradientBoosting,0.723646732332708,0.4680933973572719,0.5185142341027402,0.48657036433962053,0.545641791479856,legacy_ensembles
Voting,0.6851337554721699,0.46065723765614647,0.5368282812173506,0.48535080520477003,0.4825634363644874,legacy_ensembles
BalancedRandomForest,0.6396171826141338,0.6046128840679266,0.43616873050192045,0.4628342240711154,0.454089195101818,imbalance
AdaBoost,0.6401130393996247,0.45787058805450453,0.46672258767372055,0.44785025206571216,0.43316218184341393,section16_ensembles
AdaBoost,0.6528699968730456,0.44598735318874166,0.4525714715607478,0.4435579731951679,0.44281468323370154,legacy_ensembles
RandomForest,0.7158932926829269,0.40028806802331723,0.5800347588134406,0.4206254695029066,0.5252162819961408,base_models
RF_class_weight_balanced_subsample,0.7147673545966229,0.39673215695732955,0.5878584891455277,0.41846810452445304,0.5233563042474731,imbalance
RandomForest,0.7153929018136334,0.39499017772575645,0.5664685031434977,0.4120284241029492,0.524343523534877,section16_ensembles
DecisionTree,0.6004772514071294,0.4063459967212686,0.4131938814973277,0.40918547519182635,0.3532847045564266,base_models
