blue.color,blue.stats.ball.possession_time,blue.stats.ball.time_in_side,blue.stats.boost.amount_collected,blue.stats.boost.amount_collected_big,blue.stats.boost.amount_collected_small,blue.stats.boost.amount_overfill,blue.stats.boost.amount_overfill_stolen,blue.stats.boost.amount_stolen,blue.stats.boost.amount_stolen_big,blue.stats.boost.amount_stolen_small,blue.stats.boost.amount_used_while_supersonic,blue.stats.boost.avg_amount,blue.stats.boost.bcpm,blue.stats.boost.bpm,blue.stats.boost.count_collected_big,blue.stats.boost.count_collected_small,blue.stats.boost.count_stolen_big,blue.stats.boost.count_stolen_small,blue.stats.boost.time_boost_0_25,blue.stats.boost.time_boost_25_50,blue.stats.boost.time_boost_50_75,blue.stats.boost.time_boost_75_100,blue.stats.boost.time_full_boost,blue.stats.boost.time_zero_boost,blue.stats.core.assists,blue.stats.core.goals,blue.stats.core.goals_against,blue.stats.core.saves,blue.stats.core.score,blue.stats.core.shooting_percentage,blue.stats.core.shots,blue.stats.core.shots_against,blue.stats.demo.inflicted,blue.stats.demo.taken,blue.stats.movement.count_powerslide,blue.stats.movement.time_boost_speed,blue.stats.movement.time_ground,blue.stats.movement.time_high_air,blue.stats.movement.time_low_air,blue.stats.movement.time_powerslide,blue.stats.movement.time_slow_speed,blue.stats.movement.time_supersonic_speed,blue.stats.movement.total_distance,blue.stats.positioning.time_behind_ball,blue.stats.positioning.time_defensive_half,blue.stats.positioning.time_defensive_third,blue.stats.positioning.time_infront_ball,blue.stats.positioning.time_neutral_third,blue.stats.positioning.time_offensive_half,blue.stats.positioning.time_offensive_third,duration,max.game.rank,orange.color,orange.stats.ball.possession_time,orange.stats.ball.time_in_side,orange.stats.boost.amount_collected,orange.stats.boost.amount_collected_big,orange.stats.boost.amount_collected_small,orange.stats.boost.amount_overfill,orange.stats.boost.amount_overfill_stolen,orange.stats.boost.amount_stolen,orange.stats.boost.amount_stolen_big,orange.stats.boost.amount_stolen_small,orange.stats.boost.amount_used_while_supersonic,orange.stats.boost.avg_amount,orange.stats.boost.bcpm,orange.stats.boost.bpm,orange.stats.boost.count_collected_big,orange.stats.boost.count_collected_small,orange.stats.boost.count_stolen_big,orange.stats.boost.count_stolen_small,orange.stats.boost.time_boost_0_25,orange.stats.boost.time_boost_25_50,orange.stats.boost.time_boost_50_75,orange.stats.boost.time_boost_75_100,orange.stats.boost.time_full_boost,orange.stats.boost.time_zero_boost,orange.stats.core.assists,orange.stats.core.goals,orange.stats.core.goals_against,orange.stats.core.saves,orange.stats.core.score,orange.stats.core.shooting_percentage,orange.stats.core.shots,orange.stats.core.shots_against,orange.stats.demo.inflicted,orange.stats.demo.taken,orange.stats.movement.count_powerslide,orange.stats.movement.time_boost_speed,orange.stats.movement.time_ground,orange.stats.movement.time_high_air,orange.stats.movement.time_low_air,orange.stats.movement.time_powerslide,orange.stats.movement.time_slow_speed,orange.stats.movement.time_supersonic_speed,orange.stats.movement.total_distance,orange.stats.positioning.time_behind_ball,orange.stats.positioning.time_defensive_half,orange.stats.positioning.time_defensive_third,orange.stats.positioning.time_infront_ball,orange.stats.positioning.time_neutral_third,orange.stats.positioning.time_offensive_half,orange.stats.positioning.time_offensive_third,overtime,overtime_seconds,server.region
blue,44.28292682926829,39.06829268292683,2506,2110,396,289,30,516,369,147,452,101.17,764.6072,757,24,36,4,14,56.57560780487805,42.229268292682924,25.585365853658537,64.00487317073171,39.146341463414636,27.400000000000002,0,0,3,4,404,0.0,2,7,1,0,45,62.72682926829268,127.2,7.365853658536585,64.89756097560975,2.7658536585365856,113.8731707317073,22.863414634146338,540216,160.17072195121952,129.57560975609758,96.15609756097562,39.292682926829265,66.84878536585366,69.88780487804878,36.458536585365856,205,Champion I,orange,37.78048780487805,54.82926829268293,2516,1861,655,383,221,547,317,230,348,102.39,767.6583,748,23,59,6,20,46.02439024390244,49.88780682926829,49.78536585365853,44.28780487804878,24.526829268292683,14.536585365853657,3,3,0,1,748,42.857143,7,2,0,1,29,76.68780000000001,124.63902926829269,9.575610243902439,63.234146341463415,2.8975609756097565,101.47316585365853,19.28780487804878,544595,162.91219512195124,128.6,96.70243414634146,34.546341463414635,57.85853658536585,68.85365853658537,42.88780487804878,False,0.0,USE
blue,40.938906752411576,69.03858520900322,3835,2788,1047,588,76,663,427,236,576,101.41,873.5967,844,34,94,5,20,53.665594855305464,41.2508038585209,34.77491961414791,41.842443729903536,14.78456688102894,19.38906848874598,0,0,4,3,536,0.0,4,8,2,1,110,69.33118971061093,106.48874598070739,6.639871382636656,64.30868167202573,3.971061093247588,84.82636655948554,23.276527331189712,773399,122.1607652733119,135.57234726688102,106.6655884244373,55.27974276527331,47.59807073954984,41.861736334405144,23.17684887459807,311,Champion II,orange,44.768488745980704,25.488745980707396,3810,2788,1022,760,50,912,561,351,472,104.96001,762.7882,732,35,94,6,32,40.81672025723472,37.85209003215434,35.26688424437299,75.43086816720258,38.68810289389067,19.906753697749195,1,4,0,3,1031,50.0,8,4,1,2,108,74.7684887459807,120.65916398713827,7.980707395498392,69.79742765273312,3.7234726688102895,99.35047588424437,24.318329581993567,879409,162.02572990353696,106.87459807073955,66.54340836012861,36.41157556270097,82.90354340836012,91.56270096463021,48.98713826366559,False,0.0,USE
blue,31.317919075144506,43.644508670520224,5306,3816,1490,403,32,1103,654,449,521,88.89,1015.56714,922,43,116,7,35,70.80057803468208,48.95086705202312,23.0606936416185,49.907514450867055,15.526011560693643,27.502890173410403,5,7,4,3,1634,43.75,16,9,0,0,178,77.71098265895954,98.14161849710983,14.959538150289017,86.57514450867052,5.358381502890174,88.6907514450867,33.27745664739884,962017,157.94219653179192,131.4508670520231,91.26011560693641,41.73121387283237,69.3121387283237,68.22254335260116,39.10115895953757,346,Grand Champion III,orange,30.60404624277457,40.77167630057803,4507,3206,1301,452,79,667,232,435,428,92.12,862.63873,812,36,118,3,39,73.121387283237,47.45665028901734,25.16473988439306,44.01156069364162,21.87861271676301,29.927745664739884,2,4,7,9,1391,44.444443,9,16,0,0,93,78.41040462427746,101.51445086705202,14.664739306358381,83.54046242774567,2.4710979768786125,85.4364161849711,35.86994219653179,983633,143.2976878612717,135.03468208092485,97.14161849710983,56.421965317919074,68.05780346820809,64.68497109826589,34.52312138728324,False,0.0,USE
blue,36.7225,36.79,4858,3752,1106,618,251,1148,868,280,641,98.009995,794.0936,774,45,104,11,27,57.0775,46.89,28.335,52.04,23.095,26.255001,4,5,6,1,1241,38.46154,13,7,2,2,120,76.2425,109.1525,7.9350005,80.2975,2.55,92.67,28.47000125,1082052,145.105,122.12749999999998,92.9,52.277499999999996,55.43749999999999,75.2575,49.045,400,Champion I,orange,30.695,49.6,4543,3217,1326,518,172,966,538,428,513,97.94,742.6034,702,37,116,7,38,63.7175,39.4025,33.1975,49.9649975,27.41,16.78,2,6,5,7,1625,85.71429,7,13,2,2,136,73.24,123.61,3.6125,70.380005,4.81999975,105.91499250000001,18.4475,1026111,150.32,134.945,107.17000000000002,47.2825,55.26000249999999,62.65500000000001,35.17,False,0.0,EU
blue,38.62264150943396,49.78301886792453,1281,1006,275,405,38,188,167,21,107,115.93,851.3641,789,14,25,2,3,33.509433962264154,44.226412264150945,32.75471698113208,58.59433962264151,17.858490566037734,19.5,0,0,3,0,90,0.0,1,3,1,0,24,66.0754716981132,112.23584905660377,5.471698113207547,58.13207547169811,3.330188867924528,83.16981132075472,26.59433962264151,250976,114.5188679245283,138.69811320754718,105.93396226415095,61.33018396226415,50.79245660377359,37.14150943396226,19.12264150943396,106,Champion I,orange,28.330188679245282,38.37735849056604,1131,874,257,425,25,243,174,69,41,108.71,694.362,700,13,22,2,6,50.89622641509435,37.43396226415094,39.08490566037736,56.92452452830189,20.21698113207547,4.877358490566038,0,3,0,1,452,100.0,3,1,0,1,29,70.77358867924528,125.01885849056605,5.5,67.41509433962264,2.481132075471698,108.91509433962266,18.254716981132077,274809,171.43396226415095,119.90566603773584,83.57547169811322,26.50943396226415,73.58490566037736,78.0377358490566,40.783018867924525,False,0.0,EU
blue,36.41149425287356,44.74252873563218,5904,4542,1362,775,87,1533,1191,342,413,104.36,886.55304,822,54,118,13,31,54.85747126436782,42.259770114942526,31.606894252873563,57.56092183908046,17.567816091954022,21.572413793103447,4,6,5,5,1657,75.0,8,10,3,4,161,79.33793103448275,107.9448275862069,7.2551726436781605,80.73563218390805,3.5080459770114945,89.48505747126435,27.110342528735632,1172440,149.21608505747125,133.79999999999998,102.27126436781609,46.7218367816092,57.128735632183904,62.13793103448276,36.53563218390804,435,Champion I,orange,31.735632183908045,42.40229885057471,5072,3195,1877,794,114,1334,746,588,763,91.600006,761.6188,730,40,170,9,54,56.02988735632184,51.05747126436781,23.917241379310347,48.921839080459776,16.83448275862069,24.90344827586207,2,5,6,2,1129,50.0,10,8,4,3,116,80.50344827586207,131.5402183908046,3.8022988505747124,60.88275862068965,3.416092183908046,95.75402298850574,19.96781609195402,1115581,144.11264367816094,126.51954022988505,90.68505747126437,52.11264367816092,66.98851034482757,69.70804137931034,38.554020689655175,True,30.0,EU
blue,36.21666666666666,53.55277777777777,4621,3396,1225,543,101,1057,715,342,358,96.15,815.7105,788,40,108,9,30,69.11666666666666,38.69166944444444,38.40833055555556,46.72222222222222,21.130555555555553,24.522222222222222,2,2,4,3,775,66.666664,3,9,0,1,177,78.91111666666666,117.6,6.511111111111112,74.96666666666667,4.641666666666667,107.1388888888889,13.022221388888891,931000,140.02222777777777,130.79166111111113,93.46666111111112,59.050000000000004,68.3611111111111,68.28333333333333,37.24444444444445,360,Champion III,orange,39.59444444444444,38.169444444444444,4211,2705,1506,657,92,1449,819,630,266,102.97,743.3363,735,35,121,9,44,56.15833333333333,36.22222222222222,47.98889166666667,49.413888888888884,22.06388888888889,15.041666666666668,3,4,2,1,1075,44.444443,9,3,1,0,146,70.41666666666667,111.29443611111111,11.549999999999999,77.16388333333335,3.7305555555555556,110.71388888888889,18.880555555555556,942817,153.49443333333335,117.66111666666666,82.46666666666667,46.513891666666666,71.88610555555556,82.35000555555555,45.65277777777778,False,0.0,EU
blue,28.91836734693878,51.163265306122454,2743,2037,706,890,64,588,395,193,150,114.07,909.08093,813,31,63,5,16,56.775510204081634,19.576532142857143,19.428571428571427,82.10204081632652,32.326530612244895,17.79081632653061,1,1,4,2,424,20.0,5,7,1,1,42,73.06122448979592,124.9030612244898,3.974489795918367,69.09183673469387,3.0255102040816326,100.78061224489797,24.127551020408163,506283,129.7091887755102,146.50511224489796,112.52551020408164,68.26020918367347,57.20918622448979,51.44897959183674,28.23469387755102,196,Champion II,orange,37.10204081632653,36.88775510204081,1969,1384,585,326,59,306,139,167,146,101.01,652.563,585,17,51,2,14,63.68367857142857,31.607141326530613,33.48979591836735,56.51530816326531,21.122448979591834,26.479591836734695,1,4,1,2,843,57.142857,7,5,1,1,38,68.63775510204081,134.9081530612245,1.7653061224489797,61.21938775510204,2.244897755102041,110.23979591836735,19.010205102040818,489490,161.55102040816325,122.30101530612245,91.16836734693877,36.336734693877546,62.244897959183675,75.58673469387756,44.47448979591837,False,0.0,EU
blue,36.33730158730158,51.90079365079365,6328,4199,2129,574,147,1408,775,633,632,90.44,799.88196,736,48,180,9,51,65.47420634920636,48.269841269841265,39.02579365079365,36.88095238095238,16.900793650793652,23.355160714285713,4,4,5,7,1560,50.0,8,12,2,3,108,75.61309523809523,112.2698353174603,13.644841269841269,72.14285714285714,2.5059523809523814,95.17063492063492,27.273807539682544,1400641,145.53571428571428,137.6130853174603,105.88888888888887,52.523809523809526,54.96230158730159,60.44246031746031,37.20634722222223,504,Grand Champion I,orange,40.345238095238095,39.09722222222222,6720,5677,1043,1308,384,1658,1228,430,1028,105.37,849.43225,801,70,95,16,39,54.323412698412696,34.8531746031746,36.60912698412698,64.87698015873016,35.19444444444444,29.224208333333333,1,5,4,2,1342,41.666668,12,8,3,2,54,76.42063492063492,108.42063492063494,16.049603174603174,74.75396825396825,1.5238095238095237,96.66865476190476,26.134920634920633,1390775,143.66271031746032,112.89285714285715,78.48015476190476,55.5634880952381,68.60119047619048,86.3313492063492,52.14087301587303,True,116.0,SAM
blue,39.96511627906976,55.38953488372093,2257,1567,690,554,63,396,236,160,409,105.83,827.95306,813,22,63,3,15,38.63953488372093,45.843023255813954,56.20348837209303,51.912790697674424,27.72674418604651,13.104651162790699,1,3,0,2,705,50.0,6,3,0,1,52,66.30232558139535,116.66279069767442,13.709302325581394,68.13953488372093,4.284883720930233,100.44186627906977,31.779069767441857,475193,150.65697674418604,140.57558139534882,110.9767441860465,47.8546511627907,58.15116511627907,57.94186046511628,29.38372093023256,172,Champion II,orange,39.639534883720934,37.156976744186046,2139,1548,591,382,94,560,312,248,282,95.46,784.6662,831,19,55,4,23,65.54651453488371,40.325581395348834,28.174418604651162,52.78488372093023,27.05813953488372,20.55232558139535,0,0,3,2,299,0.0,3,6,1,0,50,92.34302325581396,116.02906976744185,10.505813953488373,72.27906395348838,2.7674417441860464,78.4186046511628,28.058140697674418,511539,141.68023255813952,111.44186046511628,72.5,57.139534883720934,72.30813662790698,87.37791279069768,54.01162790697674,False,0.0,USE
